!! n20w100.002    98.95 341


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1       9.00      30.00       0.00       0.00     346.00       0.00
    2      34.00      21.00       0.00       0.00      62.00       0.00
    3       9.00       8.00       0.00      86.00     206.00       0.00
    4      35.00      37.00       0.00     144.00     260.00       0.00
    5      35.00       6.00       0.00      50.00     202.00       0.00
    6      20.00       2.00       0.00      53.00     109.00       0.00
    7      38.00      29.00       0.00     247.00     317.00       0.00
    8      29.00      48.00       0.00     111.00     246.00       0.00
    9      25.00      22.00       0.00       0.00     113.00       0.00
   10       3.00      45.00       0.00     184.00     302.00       0.00
   11      18.00      28.00       0.00       0.00      62.00       0.00
   12      15.00       8.00       0.00       5.00     172.00       0.00
   13       7.00      12.00       0.00      22.00     160.00       0.00
   14      40.00      47.00       0.00     129.00     241.00       0.00
   15      17.00      37.00       0.00      86.00     171.00       0.00
   16      25.00      19.00       0.00       4.00      85.00       0.00
   17      14.00      10.00       0.00      47.00      95.00       0.00
   18      10.00      10.00       0.00      68.00     138.00       0.00
   19      17.00      28.00       0.00     226.00     279.00       0.00
   20      28.00       6.00       0.00       0.00     148.00       0.00
   21       4.00      21.00       0.00     222.00     295.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
