!! n40w60.001    58.35 548


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      22.00      31.00       0.00       0.00     608.00       0.00
    2       1.00      23.00       0.00      50.00     143.00       0.00
    3      37.00       1.00       0.00     293.00     359.00       0.00
    4      34.00      42.00       0.00     160.00     223.00       0.00
    5      22.00      13.00       0.00      33.00      52.00       0.00
    6      40.00      48.00       0.00     207.00     282.00       0.00
    7      27.00      22.00       0.00       0.00      36.00       0.00
    8      18.00       8.00       0.00       0.00      63.00       0.00
    9      26.00      16.00       0.00       5.00      46.00       0.00
   10      13.00      27.00       0.00      89.00     119.00       0.00
   11       8.00       7.00       0.00      24.00     112.00       0.00
   12      32.00       8.00       0.00     446.00     508.00       0.00
   13      17.00      43.00       0.00     105.00     194.00       0.00
   14      26.00      34.00       0.00     171.00     249.00       0.00
   15      30.00      21.00       0.00     228.00     284.00       0.00
   16      18.00      25.00       0.00       0.00       9.00       0.00
   17      30.00      19.00       0.00       0.00      63.00       0.00
   18      28.00      11.00       0.00      21.00      62.00       0.00
   19      16.00      42.00       0.00      84.00     172.00       0.00
   20      13.00       9.00       0.00      30.00      93.00       0.00
   21       5.00       6.00       0.00     331.00     405.00       0.00
   22      21.00      49.00       0.00      85.00     147.00       0.00
   23      13.00      34.00       0.00     106.00     153.00       0.00
   24      36.00      43.00       0.00     189.00     224.00       0.00
   25      33.00      49.00       0.00     491.00     587.00       0.00
   26       9.00      34.00       0.00     115.00     147.00       0.00
   27      33.00      47.00       0.00     213.00     250.00       0.00
   28       3.00      25.00       0.00      87.00     152.00       0.00
   29      47.00      23.00       0.00     202.00     312.00       0.00
   30      43.00      18.00       0.00     265.00     323.00       0.00
   31      42.00      32.00       0.00     262.00     277.00       0.00
   32       1.00      21.00       0.00     147.00     200.00       0.00
   33       9.00      17.00       0.00      26.00      87.00       0.00
   34      12.00       2.00       0.00      24.00     123.00       0.00
   35      41.00      28.00       0.00     215.00     294.00       0.00
   36      45.00      38.00       0.00     220.00     266.00       0.00
   37      30.00      22.00       0.00      15.00      46.00       0.00
   38      25.00      47.00       0.00     394.00     443.00       0.00
   39      40.00      12.00       0.00     294.00     351.00       0.00
   40      34.00       8.00       0.00     300.00     324.00       0.00
   41       2.00       1.00       0.00     425.00     506.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
