!! n40w20.001    20.75 530


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      43.00      49.00       0.00       0.00     547.00       0.00
    2       0.00      22.00       0.00     139.00     147.00       0.00
    3      43.00      22.00       0.00      62.00      83.00       0.00
    4       9.00      24.00       0.00     125.00     143.00       0.00
    5      29.00      10.00       0.00      82.00     108.00       0.00
    6      42.00       1.00       0.00     194.00     216.00       0.00
    7      41.00      48.00       0.00      23.00      39.00       0.00
    8      49.00      47.00       0.00       0.00      16.00       0.00
    9       4.00      20.00       0.00     128.00     141.00       0.00
   10       7.00      43.00       0.00     284.00     296.00       0.00
   11      39.00      41.00       0.00     234.00     254.00       0.00
   12      10.00      49.00       0.00     274.00     307.00       0.00
   13      38.00      37.00       0.00      42.00      57.00       0.00
   14      50.00      41.00       0.00       0.00      31.00       0.00
   15      26.00       6.00       0.00     188.00     201.00       0.00
   16      47.00      45.00       0.00      29.00      38.00       0.00
   17      41.00      42.00       0.00      10.00      30.00       0.00
   18      49.00       2.00       0.00     420.00     446.00       0.00
   19      10.00       6.00       0.00     147.00     178.00       0.00
   20       7.00      46.00       0.00     274.00     309.00       0.00
   21      10.00       1.00       0.00     380.00     402.00       0.00
   22      19.00      47.00       0.00     273.00     280.00       0.00
   23      25.00      45.00       0.00     260.00     277.00       0.00
   24      22.00      13.00       0.00     100.00     125.00       0.00
   25       2.00      28.00       0.00     355.00     373.00       0.00
   26      40.00      13.00       0.00      69.00      94.00       0.00
   27      12.00      48.00       0.00     287.00     297.00       0.00
   28      23.00      50.00       0.00     300.00     327.00       0.00
   29      21.00      34.00       0.00     327.00     363.00       0.00
   30      10.00      49.00       0.00     290.00     307.00       0.00
   31      18.00      37.00       0.00     484.00     517.00       0.00
   32      30.00      49.00       0.00     265.00     277.00       0.00
   33      24.00      21.00       0.00      98.00     121.00       0.00
   34       9.00       1.00       0.00     151.00     177.00       0.00
   35       9.00      44.00       0.00     318.00     339.00       0.00
   36      47.00      20.00       0.00      60.00      92.00       0.00
   37      48.00      20.00       0.00     221.00     227.00       0.00
   38      37.00      43.00       0.00      15.00      39.00       0.00
   39       5.00      26.00       0.00     128.00     153.00       0.00
   40      37.00      24.00       0.00      53.00      65.00       0.00
   41       3.00      27.00       0.00     475.00     502.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
