!! n80w20.001    21.44 732


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1       3.00       9.00       0.00       0.00     740.00       0.00
    2       7.00      39.00       0.00      97.00     122.00       0.00
    3       5.00      33.00       0.00      60.00      82.00       0.00
    4      13.00      44.00       0.00      97.00     132.00       0.00
    5      42.00      11.00       0.00     286.00     301.00       0.00
    6      26.00      46.00       0.00     131.00     168.00       0.00
    7       8.00      38.00       0.00      79.00     113.00       0.00
    8      21.00      43.00       0.00     152.00     159.00       0.00
    9       6.00      45.00       0.00      98.00     111.00       0.00
   10       5.00      31.00       0.00      70.00      89.00       0.00
   11       3.00      34.00       0.00     580.00     595.00       0.00
   12      23.00      18.00       0.00     550.00     556.00       0.00
   13      40.00      36.00       0.00     399.00     422.00       0.00
   14      40.00       6.00       0.00     269.00     288.00       0.00
   15      22.00      48.00       0.00     121.00     143.00       0.00
   16      25.00      50.00       0.00     130.00     157.00       0.00
   17      31.00      28.00       0.00     312.00     336.00       0.00
   18       2.00       8.00       0.00       0.00       6.00       0.00
   19      40.00      10.00       0.00     276.00     296.00       0.00
   20       3.00      23.00       0.00      39.00      67.00       0.00
   21      29.00      10.00       0.00     235.00     257.00       0.00
   22      33.00       3.00       0.00     260.00     281.00       0.00
   23      17.00      25.00       0.00     175.00     192.00       0.00
   24      38.00      45.00       0.00     357.00     372.00       0.00
   25      19.00      23.00       0.00     207.00     227.00       0.00
   26      27.00      13.00       0.00     222.00     246.00       0.00
   27      42.00       4.00       0.00     506.00     528.00       0.00
   28      46.00      29.00       0.00     473.00     506.00       0.00
   29      28.00      32.00       0.00     336.00     346.00       0.00
   30       7.00      12.00       0.00       0.00      29.00       0.00
   31      10.00      25.00       0.00     189.00     198.00       0.00
   32       6.00       1.00       0.00      24.00      54.00       0.00
   33      31.00       9.00       0.00     259.00     269.00       0.00
   34       1.00      34.00       0.00      70.00      96.00       0.00
   35       2.00       2.00       0.00      25.00      43.00       0.00
   36      25.00      18.00       0.00     226.00     247.00       0.00
   37      47.00      50.00       0.00     399.00     407.00       0.00
   38       3.00      11.00       0.00       1.00      22.00       0.00
   39       5.00      31.00       0.00      65.00      93.00       0.00
   40       3.00      12.00       0.00       6.00      28.00       0.00
   41      36.00      45.00       0.00     341.00     371.00       0.00
   42      36.00      19.00       0.00     292.00     311.00       0.00
   43      22.00       1.00       0.00     535.00     539.00       0.00
   44      37.00      49.00       0.00     349.00     374.00       0.00
   45      29.00      28.00       0.00     170.00     180.00       0.00
   46      49.00      49.00       0.00     428.00     457.00       0.00
   47      37.00      22.00       0.00     315.00     335.00       0.00
   48      24.00      10.00       0.00     235.00     252.00       0.00
   49      10.00      41.00       0.00      85.00     115.00       0.00
   50      23.00      46.00       0.00     136.00     172.00       0.00
   51       7.00      28.00       0.00      70.00      92.00       0.00
   52      48.00      33.00       0.00     417.00     447.00       0.00
   53      42.00      16.00       0.00     287.00     308.00       0.00
   54       1.00      15.00       0.00      29.00      57.00       0.00
   55      16.00      41.00       0.00     128.00     145.00       0.00
   56      26.00      36.00       0.00     157.00     172.00       0.00
   57      27.00      26.00       0.00     170.00     183.00       0.00
   58      31.00      45.00       0.00     361.00     393.00       0.00
   59       8.00       9.00       0.00       3.00      23.00       0.00
   60      33.00      45.00       0.00     352.00     361.00       0.00
   61      25.00      13.00       0.00     228.00     255.00       0.00
   62      37.00       7.00       0.00     258.00     288.00       0.00
   63      23.00      12.00       0.00     250.00     275.00       0.00
   64      29.00       4.00       0.00     689.00     714.00       0.00
   65       2.00      18.00       0.00      51.00      80.00       0.00
   66      47.00      13.00       0.00     293.00     299.00       0.00
   67      19.00      36.00       0.00     121.00     137.00       0.00
   68      25.00      44.00       0.00     330.00     363.00       0.00
   69      31.00      45.00       0.00     337.00     356.00       0.00
   70       3.00       1.00       0.00     597.00     629.00       0.00
   71      47.00      14.00       0.00     474.00     497.00       0.00
   72       1.00      25.00       0.00     195.00     215.00       0.00
   73      36.00      38.00       0.00     366.00     398.00       0.00
   74      22.00      34.00       0.00     154.00     182.00       0.00
   75      14.00      40.00       0.00     103.00     136.00       0.00
   76       6.00      46.00       0.00     654.00     666.00       0.00
   77      22.00      25.00       0.00     169.00     205.00       0.00
   78       3.00      19.00       0.00      32.00      61.00       0.00
   79      37.00      46.00       0.00     388.00     399.00       0.00
   80       9.00      24.00       0.00      62.00      74.00       0.00
   81      10.00      36.00       0.00     664.00     671.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
