!! n150w20.001    20.39 1037


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      48.00      33.00       0.00       0.00    1039.00       0.00
    2      38.00      22.00       0.00     365.00     391.00       0.00
    3       2.00      25.00       0.00     570.00     576.00       0.00
    4      29.00      27.00       0.00     159.00     172.00       0.00
    5      29.00      32.00       0.00     141.00     169.00       0.00
    6      20.00      46.00       0.00      96.00     111.00       0.00
    7       6.00      23.00       0.00     198.00     227.00       0.00
    8      11.00      11.00       0.00     482.00     511.00       0.00
    9      15.00      13.00       0.00     467.00     473.00       0.00
   10      38.00      21.00       0.00     386.00     393.00       0.00
   11       7.00       5.00       0.00     504.00     511.00       0.00
   12      11.00      34.00       0.00     225.00     239.00       0.00
   13      13.00       5.00       0.00     463.00     495.00       0.00
   14      12.00      25.00       0.00     806.00     829.00       0.00
   15       3.00      46.00       0.00     249.00     275.00       0.00
   16      17.00      15.00       0.00     445.00     452.00       0.00
   17       0.00      45.00       0.00     830.00     853.00       0.00
   18       8.00      21.00       0.00     198.00     225.00       0.00
   19      13.00      40.00       0.00     232.00     254.00       0.00
   20       1.00      17.00       0.00     524.00     544.00       0.00
   21      22.00      43.00       0.00     595.00     610.00       0.00
   22      44.00      13.00       0.00     639.00     670.00       0.00
   23      43.00      34.00       0.00       4.00      34.00       0.00
   24      13.00      48.00       0.00     265.00     280.00       0.00
   25      13.00      43.00       0.00     590.00     608.00       0.00
   26      21.00      43.00       0.00      92.00     115.00       0.00
   27       6.00       5.00       0.00     499.00     509.00       0.00
   28      47.00      13.00       0.00     630.00     656.00       0.00
   29      32.00      18.00       0.00     697.00     712.00       0.00
   30      24.00      39.00       0.00     130.00     157.00       0.00
   31      26.00      40.00       0.00     290.00     319.00       0.00
   32      23.00      49.00       0.00     103.00     106.00       0.00
   33      25.00      22.00       0.00     160.00     189.00       0.00
   34      37.00      48.00       0.00      36.00      70.00       0.00
   35       2.00      46.00       0.00     258.00     270.00       0.00
   36      41.00      11.00       0.00     670.00     700.00       0.00
   37      44.00      23.00       0.00     360.00     393.00       0.00
   38      33.00      19.00       0.00     394.00     406.00       0.00
   39      43.00      14.00       0.00     630.00     651.00       0.00
   40      49.00       2.00       0.00     725.00     762.00       0.00
   41      45.00      39.00       0.00      16.00      36.00       0.00
   42      26.00      28.00       0.00     148.00     167.00       0.00
   43      21.00      26.00       0.00     176.00     207.00       0.00
   44      35.00      42.00       0.00      30.00      54.00       0.00
   45       0.00      16.00       0.00     529.00     539.00       0.00
   46      46.00      48.00       0.00      61.00      88.00       0.00
   47      44.00      46.00       0.00      42.00      65.00       0.00
   48      37.00      36.00       0.00     334.00     343.00       0.00
   49      31.00      42.00       0.00      43.00      56.00       0.00
   50      33.00       6.00       0.00     662.00     695.00       0.00
   51      49.00      19.00       0.00     918.00     943.00       0.00
   52      16.00      28.00       0.00     181.00     198.00       0.00
   53       7.00      17.00       0.00     540.00     572.00       0.00
   54      48.00      45.00       0.00     335.00     349.00       0.00
   55      10.00       5.00       0.00     485.00     522.00       0.00
   56       4.00      12.00       0.00     542.00     561.00       0.00
   57      16.00       7.00       0.00     474.00     504.00       0.00
