!! n40w60.004    60.40 496


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1       0.00      14.00       0.00       0.00     509.00       0.00
    2      42.00      41.00       0.00     287.00     341.00       0.00
    3      38.00       5.00       0.00     219.00     305.00       0.00
    4      12.00      17.00       0.00      11.00      98.00       0.00
    5      10.00      21.00       0.00      27.00      58.00       0.00
    6      25.00      34.00       0.00     176.00     216.00       0.00
    7      17.00      36.00       0.00      81.00     151.00       0.00
    8      13.00      15.00       0.00       0.00      43.00       0.00
    9      16.00      26.00       0.00     102.00     185.00       0.00
   10      19.00      20.00       0.00      15.00      62.00       0.00
   11      28.00      25.00       0.00     155.00     194.00       0.00
   12      28.00      36.00       0.00     115.00     206.00       0.00
   13      46.00      31.00       0.00     309.00     357.00       0.00
   14       1.00      12.00       0.00       3.00      36.00       0.00
   15       7.00      26.00       0.00      30.00     129.00       0.00
   16      15.00      16.00       0.00       9.00      43.00       0.00
   17      34.00      23.00       0.00     201.00     258.00       0.00
   18      45.00      35.00       0.00     427.00     460.00       0.00
   19      14.00      21.00       0.00      20.00      94.00       0.00
   20       5.00      12.00       0.00       0.00      49.00       0.00
   21      24.00      13.00       0.00     213.00     288.00       0.00
   22      35.00      38.00       0.00     174.00     226.00       0.00
   23       5.00      42.00       0.00     341.00     415.00       0.00
   24      24.00      29.00       0.00     161.00     191.00       0.00
   25      17.00      44.00       0.00      53.00     114.00       0.00
   26      40.00      29.00       0.00     296.00     330.00       0.00
   27       5.00      16.00       0.00       1.00      62.00       0.00
   28      47.00       6.00       0.00     244.00     308.00       0.00
   29      17.00      18.00       0.00      19.00      37.00       0.00
   30      15.00      25.00       0.00       7.00      90.00       0.00
   31      17.00      23.00       0.00      44.00      76.00       0.00
   32      15.00      31.00       0.00      36.00     142.00       0.00
   33      11.00      42.00       0.00      65.00     132.00       0.00
   34      10.00      18.00       0.00       4.00     103.00       0.00
   35      38.00      30.00       0.00     175.00     268.00       0.00
   36      26.00      15.00       0.00     193.00     273.00       0.00
   37       4.00      45.00       0.00     107.00     153.00       0.00
   38      12.00      18.00       0.00      54.00      83.00       0.00
   39       1.00      36.00       0.00      73.00     141.00       0.00
   40      32.00      45.00       0.00     160.00     221.00       0.00
   41      37.00       7.00       0.00     373.00     458.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
