!! n20w100.005    98.15 360


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1       5.00       4.00       0.00       0.00     372.00       0.00
    2       7.00      18.00       0.00      50.00     100.00       0.00
    3      16.00      18.00       0.00       0.00      77.00       0.00
    4      48.00      21.00       0.00      94.00     287.00       0.00
    5      32.00      41.00       0.00     250.00     327.00       0.00
    6      28.00      22.00       0.00      26.00     188.00       0.00
    7      47.00      18.00       0.00     189.00     273.00       0.00
    8      16.00      45.00       0.00     285.00     322.00       0.00
    9      21.00       5.00       0.00       0.00     116.00       0.00
   10      16.00      37.00       0.00      20.00     130.00       0.00
   11       5.00      27.00       0.00      54.00     228.00       0.00
   12      15.00       5.00       0.00       0.00      76.00       0.00
   13      23.00      31.00       0.00      93.00     135.00       0.00
   14      15.00      12.00       0.00       0.00      56.00       0.00
   15      22.00      41.00       0.00      48.00     202.00       0.00
   16      43.00       7.00       0.00     115.00     188.00       0.00
   17      49.00      38.00       0.00     146.00     285.00       0.00
   18      39.00      24.00       0.00     142.00     212.00       0.00
   19       8.00      26.00       0.00       0.00     106.00       0.00
   20      27.00      15.00       0.00      85.00     191.00       0.00
   21      31.00       5.00       0.00     212.00     273.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
