!! n80w40.002    40.00 704


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      39.00      40.00       0.00       0.00     717.00       0.00
    2      49.00      20.00       0.00     591.00     607.00       0.00
    3      10.00      13.00       0.00     451.00     477.00       0.00
    4      33.00      36.00       0.00       6.00      65.00       0.00
    5      44.00       6.00       0.00     232.00     286.00       0.00
    6      23.00       9.00       0.00     212.00     261.00       0.00
    7       2.00      43.00       0.00     354.00     371.00       0.00
    8      22.00      24.00       0.00     292.00     323.00       0.00
    9      44.00       5.00       0.00     253.00     297.00       0.00
   10      13.00      34.00       0.00      77.00     107.00       0.00
   11      48.00      40.00       0.00     137.00     193.00       0.00
   12      24.00       9.00       0.00     177.00     245.00       0.00
   13      26.00      41.00       0.00      72.00     112.00       0.00
   14      14.00       4.00       0.00     625.00     668.00       0.00
   15      29.00      18.00       0.00     167.00     215.00       0.00
   16       6.00      15.00       0.00     434.00     510.00       0.00
   17       5.00       4.00       0.00     468.00     500.00       0.00
   18      15.00      35.00       0.00      67.00     111.00       0.00
   19      27.00      15.00       0.00     297.00     331.00       0.00
   20      39.00      25.00       0.00       5.00      54.00       0.00
   21      30.00      43.00       0.00      48.00     106.00       0.00
   22      14.00      31.00       0.00     327.00     374.00       0.00
   23      22.00      23.00       0.00     300.00     316.00       0.00
   24      21.00      43.00       0.00      82.00     158.00       0.00
   25      32.00      46.00       0.00     105.00     133.00       0.00
   26      12.00      34.00       0.00      75.00     124.00       0.00
   27      43.00      37.00       0.00      21.00      92.00       0.00
   28      10.00      30.00       0.00      72.00     131.00       0.00
   29       9.00       5.00       0.00     446.00     493.00       0.00
   30      12.00      41.00       0.00     329.00     364.00       0.00
   31      47.00      16.00       0.00     257.00     285.00       0.00
   32      30.00       7.00       0.00     189.00     241.00       0.00
   33      14.00      37.00       0.00      99.00     118.00       0.00
   34       6.00      42.00       0.00     357.00     404.00       0.00
   35       5.00      23.00       0.00     360.00     407.00       0.00
   36      40.00      24.00       0.00     171.00     212.00       0.00
   37      33.00      30.00       0.00      38.00      65.00       0.00
   38      11.00      21.00       0.00     425.00     469.00       0.00
   39      27.00      27.00       0.00     435.00     472.00       0.00
   40      34.00      49.00       0.00     558.00     585.00       0.00
   41       7.00       4.00       0.00     496.00     537.00       0.00
   42      40.00      37.00       0.00       0.00      29.00       0.00
   43      28.00      26.00       0.00     288.00     339.00       0.00
   44      44.00      28.00       0.00       8.00      33.00       0.00
   45      44.00      46.00       0.00     134.00     169.00       0.00
   46      28.00      10.00       0.00     201.00     223.00       0.00
   47      41.00      35.00       0.00     545.00     595.00       0.00
   48      26.00      13.00       0.00     188.00     228.00       0.00
   49      33.00       9.00       0.00     238.00     273.00       0.00
   50      41.00      35.00       0.00       2.00      30.00       0.00
   51      24.00       1.00       0.00     180.00     253.00       0.00
   52      48.00       5.00       0.00     221.00     277.00       0.00
   53      41.00      31.00       0.00       2.00      56.00       0.00
   54      37.00      14.00       0.00     185.00     224.00       0.00
   55      11.00      29.00       0.00     407.00     432.00       0.00
   56      22.00      21.00       0.00     297.00     327.00       0.00
   57      17.00      22.00       0.00     291.00     337.00       0.00
   58      14.00       4.00       0.00     466.00     538.00       0.00
   59       1.00      28.00       0.00     372.00     393.00       0.00
   60      26.00      27.00       0.00     311.00     325.00       0.00
   61      26.00      25.00       0.00     323.00     342.00       0.00
   62      11.00      33.00       0.00      86.00     101.00       0.00
   63      49.00      32.00       0.00     125.00     202.00       0.00
   64      17.00      39.00       0.00      51.00     106.00       0.00
   65      38.00      36.00       0.00      36.00      81.00       0.00
   66      38.00      39.00       0.00      29.00      83.00       0.00
   67      49.00      29.00       0.00       2.00      42.00       0.00
   68      48.00      44.00       0.00     692.00     707.00       0.00
   69       2.00       3.00       0.00     475.00     510.00       0.00
   70      17.00      22.00       0.00     335.00     349.00       0.00
   71       3.00      18.00       0.00     364.00     413.00       0.00
   72      19.00      44.00       0.00      45.00      97.00       0.00
   73      19.00      36.00       0.00      83.00     133.00       0.00
   74       3.00      24.00       0.00     392.00     401.00       0.00
   75      43.00      34.00       0.00       0.00      20.00       0.00
   76      25.00       5.00       0.00     207.00     229.00       0.00
   77       9.00      42.00       0.00     397.00     454.00       0.00
   78       9.00      14.00       0.00     513.00     521.00       0.00
   79      44.00      32.00       0.00       0.00      33.00       0.00
   80      50.00      46.00       0.00     145.00     160.00       0.00
   81      19.00      22.00       0.00     626.00     685.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
