!! n40w20.002    22.55 608


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1       5.00      10.00       0.00       0.00     612.00       0.00
    2      39.00       2.00       0.00     363.00     399.00       0.00
    3      23.00      37.00       0.00     237.00     269.00       0.00
    4      41.00      42.00       0.00     206.00     236.00       0.00
    5      48.00       8.00       0.00     390.00     401.00       0.00
    6      48.00      17.00       0.00     169.00     197.00       0.00
    7      37.00      28.00       0.00     108.00     141.00       0.00
    8      36.00      25.00       0.00     120.00     137.00       0.00
    9      17.00       3.00       0.00      24.00      51.00       0.00
   10      11.00      14.00       0.00       0.00      12.00       0.00
   11       9.00       8.00       0.00       0.00      32.00       0.00
   12      41.00      34.00       0.00     219.00     253.00       0.00
   13      26.00      29.00       0.00      83.00     111.00       0.00
   14      45.00      44.00       0.00     415.00     432.00       0.00
   15       5.00      41.00       0.00     328.00     341.00       0.00
   16       3.00      28.00       0.00     268.00     300.00       0.00
   17       4.00      14.00       0.00       0.00      12.00       0.00
   18      46.00      45.00       0.00     217.00     234.00       0.00
   19       8.00       4.00       0.00       2.00      31.00       0.00
   20       7.00      14.00       0.00     299.00     310.00       0.00
   21      37.00      10.00       0.00     133.00     147.00       0.00
   22      26.00      46.00       0.00     550.00     571.00       0.00
   23      46.00      21.00       0.00     170.00     192.00       0.00
   24      21.00      36.00       0.00      99.00     119.00       0.00
   25      17.00      22.00       0.00      70.00      90.00       0.00
   26      16.00      27.00       0.00      72.00      95.00       0.00
   27      26.00      33.00       0.00     107.00     121.00       0.00
   28       7.00       1.00       0.00      34.00      61.00       0.00
   29      24.00      19.00       0.00      55.00      72.00       0.00
   30      35.00      16.00       0.00     124.00     154.00       0.00
   31      46.00      12.00       0.00     182.00     186.00       0.00
   32       8.00      45.00       0.00     252.00     274.00       0.00
   33      10.00       6.00       0.00      11.00      42.00       0.00
   34      38.00      29.00       0.00     183.00     210.00       0.00
   35      22.00      20.00       0.00      78.00      95.00       0.00
   36      43.00       2.00       0.00     500.00     524.00       0.00
   37      17.00      21.00       0.00     334.00     354.00       0.00
   38      18.00       7.00       0.00      53.00      75.00       0.00
   39      33.00      15.00       0.00     142.00     171.00       0.00
   40      31.00       6.00       0.00     139.00     166.00       0.00
   41       6.00      42.00       0.00     449.00     469.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
