!! n40w80.002    83.17 532


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      22.00      42.00       0.00       0.00     572.00       0.00
    2      10.00      40.00       0.00       0.00      91.00       0.00
    3      12.00      50.00       0.00     181.00     227.00       0.00
    4      26.00      40.00       0.00     157.00     222.00       0.00
    5       5.00       9.00       0.00      83.00     186.00       0.00
    6      49.00      15.00       0.00     385.00     526.00       0.00
    7       6.00      32.00       0.00       0.00      76.00       0.00
    8       7.00      43.00       0.00     187.00     223.00       0.00
    9      19.00       6.00       0.00      31.00     179.00       0.00
   10       6.00      13.00       0.00     344.00     451.00       0.00
   11      15.00      26.00       0.00      42.00     120.00       0.00
   12      25.00      25.00       0.00       0.00     117.00       0.00
   13      32.00      38.00       0.00     162.00     218.00       0.00
   14      24.00      15.00       0.00      38.00     155.00       0.00
   15      26.00      23.00       0.00      52.00     107.00       0.00
   16      28.00      29.00       0.00       2.00     125.00       0.00
   17      34.00      30.00       0.00     177.00     200.00       0.00
   18      19.00       1.00       0.00      81.00     171.00       0.00
   19      26.00       9.00       0.00     102.00     141.00       0.00
   20      14.00       5.00       0.00      77.00     156.00       0.00
   21      48.00      34.00       0.00     282.00     351.00       0.00
   22      17.00      20.00       0.00     117.00     193.00       0.00
   23      45.00      21.00       0.00     276.00     353.00       0.00
   24      14.00       3.00       0.00      87.00     123.00       0.00
   25       5.00      41.00       0.00       0.00      93.00       0.00
   26       0.00      49.00       0.00     194.00     274.00       0.00
   27      18.00      11.00       0.00      14.00     112.00       0.00
   28       8.00      12.00       0.00      77.00     165.00       0.00
   29      43.00      38.00       0.00     341.00     366.00       0.00
   30      30.00       6.00       0.00     344.00     408.00       0.00
   31      18.00      37.00       0.00       0.00      28.00       0.00
   32       1.00      32.00       0.00     447.00     549.00       0.00
   33      19.00      47.00       0.00     213.00     274.00       0.00
   34      32.00      50.00       0.00     213.00     345.00       0.00
   35      48.00      14.00       0.00     249.00     359.00       0.00
   36      19.00       6.00       0.00      10.00     128.00       0.00
   37      45.00      23.00       0.00     298.00     385.00       0.00
   38       5.00      24.00       0.00      15.00     105.00       0.00
   39      17.00      46.00       0.00     132.00     259.00       0.00
   40      30.00      29.00       0.00      96.00     213.00       0.00
   41      35.00      31.00       0.00     447.00     506.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
